nodenumber,x-coordinate,y-coordinate,temperature,hole_size,leak_status
1,1.132272,-2.775262,308.000000,25mm,0
2,-2.088119,-2.218092,302.043663,30mm,0
3,1.498604,-0.430926,296.566615,20mm,0
4,-1.571120,2.450607,298.658734,30mm,0
5,-1.319922,0.483685,321.415981,25mm,1
6,-0.329754,2.546072,301.102586,40mm,0
7,2.900985,1.339460,299.665063,20mm,0
8,0.254154,1.610400,301.931620,20mm,0
9,2.507285,2.006558,325.407734,25mm,1
10,-2.836630,0.562951,301.393794,25mm,0
11,0.261206,2.043215,300.131188,20mm,0
12,-1.454586,-1.151782,300.812929,30mm,0
13,0.449613,-2.099360,315.157197,40mm,1
14,-1.381604,-1.195265,319.574513,25mm,1
15,-2.556921,-1.280652,317.812886,20mm,1
16,2.982977,0.667252,295.000000,20mm,0
17,-2.493033,-0.943395,324.682688,20mm,1
18,-2.682505,-0.433331,319.728354,30mm,1
19,2.750103,2.884845,304.062454,40mm,0
20,-0.471858,1.425494,299.886244,20mm,0
21,-1.336542,-1.280050,305.400206,20mm,0
22,-2.586356,1.281162,302.353448,40mm,0
23,-1.775876,1.102845,316.218189,25mm,1
24,2.095094,-0.573891,332.195031,20mm,1
25,1.381971,-0.222859,300.128985,25mm,0
26,1.092677,1.221572,326.476144,30mm,1
27,-2.588785,1.066228,330.934937,30mm,1
28,-1.735699,-2.134586,302.825393,40mm,0
29,-1.694845,1.544199,310.000000,30mm,1
30,-0.204772,-1.567712,300.016622,25mm,0
31,0.317854,-0.068633,301.559987,25mm,0
32,1.789935,-1.255187,326.247448,20mm,1
33,-1.078323,-2.069251,328.007464,20mm,1
34,1.825419,0.683548,310.000000,25mm,1
35,-2.462789,0.693421,304.280308,25mm,0
36,-1.875142,1.481945,324.380334,20mm,1
37,-1.695606,1.694423,310.000000,25mm,1
38,-2.606232,-0.591339,296.837187,25mm,0
39,1.121611,0.081360,327.541142,20mm,1
40,-1.957732,-1.683998,321.515096,25mm,1
41,-1.896146,-1.437015,310.000000,40mm,1
42,-0.993101,-0.734714,301.115872,40mm,0
43,-2.393251,1.798073,301.040516,40mm,0
44,-0.858684,-0.877265,298.936474,20mm,0
45,0.858537,-0.838613,322.814174,20mm,1
46,2.868528,-2.665782,327.327719,20mm,1
47,-0.132131,2.719475,319.195972,25mm,1
48,0.925838,-2.519805,302.850314,30mm,0
49,2.092936,-0.800988,345.121459,40mm,1
50,0.345110,2.741331,297.655815,25mm,0
51,0.034600,0.449133,337.806806,25mm,1
52,2.820323,-1.521291,323.015776,40mm,1
53,-1.394057,0.556567,336.577637,40mm,1
54,-1.559610,-2.233874,323.322646,25mm,1
55,0.781483,-1.509698,300.422834,20mm,0
56,-0.097646,2.517913,327.229206,30mm,1
57,0.642362,1.393009,300.547774,40mm,0
58,-0.443444,0.112789,298.283179,25mm,0
59,0.767897,0.693861,330.358448,25mm,1
60,1.933554,1.109872,328.564368,40mm,1
61,-0.950502,2.996703,302.860573,25mm,0
62,1.953488,-1.074447,303.426510,30mm,0
63,-1.786121,1.359998,312.711051,40mm,1
64,-0.620634,1.546166,315.582812,20mm,1
65,0.044181,-0.114795,303.800142,25mm,0
66,-1.098978,-0.977507,312.846665,20mm,1
67,2.277379,0.480261,300.837821,25mm,0
68,0.875709,2.837366,301.269960,40mm,0
69,3.037044,-1.194508,312.821725,25mm,1
70,-1.290862,1.463854,329.014007,25mm,1
71,0.471360,-0.222376,300.887701,30mm,0
72,1.814376,2.168508,306.531328,40mm,0
73,-1.685130,2.175709,300.542692,25mm,0
74,2.768616,-1.843057,301.855938,20mm,0
75,2.563159,-1.016089,314.471212,20mm,1
76,-1.851005,0.970869,322.244641,30mm,1
77,1.520097,1.416128,337.541340,40mm,1
78,-1.622411,-2.294692,302.388782,20mm,0
79,-0.780007,1.444679,302.189380,40mm,0
80,0.477045,-1.683620,302.423254,25mm,0
81,-2.035934,2.252143,300.374322,25mm,0
82,-1.354935,-1.667546,301.383553,20mm,0
83,-2.260261,-1.655762,303.501371,25mm,0
84,2.648104,-1.715008,326.212583,40mm,1
85,-1.309191,1.411269,328.750198,40mm,1
86,1.224475,1.004464,330.781045,30mm,1
87,0.958467,0.380178,301.080289,20mm,0
88,1.554546,1.705768,300.586440,40mm,0
89,1.963229,1.613904,301.046990,30mm,0
90,-2.280995,-1.590219,307.910871,25mm,0
91,0.256334,-2.941197,300.898694,20mm,0
92,1.678268,1.004169,349.303016,30mm,1
93,2.262616,-1.260997,329.659192,30mm,1
94,2.937032,1.105885,299.207460,40mm,0
