nodenumber,x-coordinate,y-coordinate,temperature
1,0.596589,-1.100813,301.179383
2,-1.623183,1.074091,311.318623
3,-1.421662,0.708651,316.325885
4,-1.574378,1.185659,329.001280
5,1.961578,0.248458,299.012904
6,-2.865581,1.007813,302.057059
7,0.273749,-1.416416,305.000000
8,-0.888510,2.453226,301.756723
9,1.392719,1.451223,305.968828
10,-1.237722,-1.553363,298.781504
11,2.846414,1.243819,300.310048
12,-0.413683,-1.953476,297.947261
13,-1.734567,1.188308,307.377244
14,2.731051,-1.559090,311.475013
15,1.517303,0.659529,328.293112
16,0.588596,-0.251500,301.264139
17,-1.888874,1.482238,308.279400
18,-1.154357,0.714013,303.947559
19,0.754972,-1.075799,315.325877
20,-1.566879,1.194202,309.878564
21,1.145045,1.012158,305.524548
22,-1.776945,-1.014098,312.085998
23,-2.747897,-1.055408,321.000997
24,1.531391,-0.443712,309.333210
25,0.656864,1.568247,319.237229
26,0.203529,0.370566,304.278771
27,-1.491328,2.159822,298.580933
28,-0.191451,0.552218,298.999965
29,-2.000258,-2.582882,295.000000
30,1.052883,2.159808,299.743828
31,-0.532735,-0.650107,304.281903
32,0.677748,-1.666327,301.105897
33,-2.154847,-1.034524,314.444655
34,1.916219,-2.734141,318.507722
35,-2.955904,0.667954,296.322820
36,-1.472741,1.030012,301.689822
37,-2.239031,1.111178,300.700417
38,-1.655879,0.539889,300.964788
39,1.232899,1.938388,298.581025
40,2.219359,0.401419,328.894893
41,1.243758,-2.279145,301.643171
42,0.221113,-0.197127,298.326786
43,-0.852796,0.109974,327.949381
44,0.056375,0.723815,296.615219
45,2.233827,-0.933419,298.267596
46,0.864698,0.694867,299.942910
47,0.625894,0.425647,322.306569
48,0.434324,1.707613,298.879585
49,-2.396462,-1.840242,300.565152
50,1.831825,-2.977792,312.996167
51,-1.729703,-1.698845,300.031031
52,1.721627,-0.709367,300.482086
53,1.613479,-0.874676,319.640319
54,1.575741,-2.999843,298.918832
55,-0.195566,-1.165235,330.888770
56,-2.936190,-2.907975,306.126554
57,2.694308,-0.314793,301.756212
58,2.307810,0.052168,299.549108
59,2.374349,2.232849,299.770742
60,-2.229900,-0.959240,322.925109
61,-1.135191,1.132011,310.309366
62,-1.903422,0.314950,320.104543
63,-1.220387,-2.263678,299.157886
64,-1.614472,0.825615,299.720742
65,-2.206910,0.532420,299.468071
66,1.576242,-0.823512,303.555419
67,1.074694,0.562963,313.779796
68,0.360185,-0.274279,302.084409
69,-2.347196,-0.728812,301.740456
70,-2.723150,1.787696,302.295260
71,-1.857450,1.181766,320.283250
72,1.663707,0.234239,317.541525
73,1.457857,-2.301729,303.761393
74,-1.917236,1.469748,300.936710
75,2.300723,-2.737820,302.931987
76,-1.683498,2.939838,302.173142
77,1.456793,-2.431519,299.985544
78,1.469389,-0.261665,308.881543
79,-2.257603,1.424233,317.431191
80,-0.064643,-2.231661,322.241281
81,1.247464,1.336411,305.000000
82,0.319851,2.148046,316.952963
